MATRIKELNUMMER;STUDBEZ;ZULAC;SEMESTER_ID;STUDIENJAHR;ST_SEM_NR;StudienStatusCode;StatusgruppeS;StatusgruppeSem1;STUDBEZ_kompakt;Studart;Studgruppe;FAMILIENNAME;VORNAME;GESCHLECHT;LAND_1;STUDDAUER;OUTGOINGSEM;Beginndat_Min;Endedat_Max;besuchtesSemester;Alter;Ueberlaenge;StatusgruppeR;ECTS_Sem;SWS_Sem;ECTS_Sj;SWS_Sj;prfakt;IncomingsemUHSBV
00801535;"Bachelorstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;19.08.2018;04.02.2021;6;34;-2;Studienabschluss;33;0;33;0;superprfakt;
11932730;"Bachelorstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;25.06.2020;08.10.2021;3;28;-5;Studienabschluss;33;0;33;2;superprfakt;
11935933;"Bachelorstudium; Powerpoint";O;21S;2020/21;102;Bp;Studienunterbrechung_Ende; ;"BA; PPP";BA;PPP;Personson;Person;M;Österreich;8;;10.09.2019;31.12.9999;3;28;-5;Studienunterbrechung_Ende;32;0;32;0;superprfakt;
01340104;"Masterstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;31.12.2019;24.08.2021;4;25;0;Studienabschluss;93;9;113,75;13;superprfakt;
00864344;"Masterstudium; Powerpoint";O;19S;2018/19;98;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;15.01.2017;18.03.2019;6;27;2;Studienabschluss;71,5;6;82;11;superprfakt;
01168612;"Masterstudium; Powerpoint";O;20S;2019/20;100;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;28.10.2017;01.07.2020;6;29;2;Studienabschluss;65;6;83,5;10;superprfakt;
00543983;"Masterstudium; Powerpoint";O;15S;2014/15;90;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Deutschland;4;;15.10.2011;21.05.2015;8;31;4;Studienabschluss;61,5;16;68,5;23;superprfakt;
00807240;"Masterstudium; Powerpoint";O;15S;2014/15;90;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;23.12.2013;14.02.2015;4;26;0;Studienabschluss;60;12;83;25;superprfakt;
00862506;"Masterstudium; Powerpoint";O;15S;2014/15;90;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;28.05.2013;05.06.2015;4;24;0;Studienabschluss;60;12;77;21;superprfakt;
09768777;"Masterstudium; Powerpoint";O;21S;2020/21;102;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;14.04.2019;03.08.2021;5;25;1;Studienabschluss;59,5;4;70,5;9;superprfakt;
00868586;"Masterstudium; Powerpoint";O;14S;2013/14;88;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;16.06.2012;24.08.2014;4;25;0;Studienabschluss;59;10;85,5;25;superprfakt;
01168440;"Masterstudium; Powerpoint";O;19S;2018/19;98;IX;Studienabschluss; ;"MA; PPP";MA;PPP;Personson;Person;M;Deutschland;4;;15.03.2018;22.05.2019;4;29;0;Studienabschluss;58,5;18,5;80;31;superprfakt;
00369171;"Masterstudium; Powerpoint";O;18W;2018/19;97;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Österreich;4;;23.08.2017;11.05.2019;3;29;-1;Studienfortsetzung;58,5;18,5;63,5;23,5;superprfakt;
01463817;"Masterstudium; Powerpoint";O;20S;2019/20;100;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;31.08.2018;31.12.9999;4;25;0;Studienfortsetzung;58;22;63;26;superprfakt;
00471821;"Masterstudium; Powerpoint";O;15S;2014/15;90;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Österreich;4;;08.10.2013;03.07.2015;4;23;0;Studienabschluss;58;19;74,5;26,5;superprfakt;
00864192;"Masterstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;China;4;;18.12.2012;18.03.2015;4;34;0;Studienfortsetzung;58;18;81;33;superprfakt;
01642959;"Masterstudium; Powerpoint";O;20S;2019/20;100;IX;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;M;Deutschland;4;;03.02.2017;04.03.2021;7;27;3;Studienabschluss;58;17;63;24;superprfakt;
00869700;"Masterstudium; Powerpoint";O;14S;2013/14;88;I;Studienfortsetzung; ;"MA; PPP";MA;PPP;Personson;Person;W;Italien;4;;08.02.2013;10.04.2015;4;26;0;Studienfortsetzung;57,5;19;77;30,5;superprfakt;
